,symbol
0,AAIT
1,AAL
2,AAME
3,AAOI
4,AAON
5,AAPL
6,AAVL
7,AAWW
8,AAXJ
9,ABAC
10,ABAX
11,ABCB
12,ABCD
13,ABCO
14,ABCW
15,ABDC
16,ABGB
17,ABIO
18,ABMD
19,ABTL
20,ABY
21,ACAD
22,ACAS
23,ACAT
24,ACET
25,ACFC
26,ACFN
27,ACGL
28,ACHC
29,ACHN
30,ACIW
31,ACLS
32,ACNB
33,ACOR
34,ACPW
35,ACRX
36,ACSF
37,ACST
38,ACTA
39,ACTG
40,ACTS
41,ACUR
42,ACWI
43,ACWX
44,ACXM
45,ADAT
46,ADBE
47,ADEP
48,ADES
49,ADHD
50,ADI
51,ADMA
52,ADMP
53,ADMS
54,ADNC
55,ADP
56,ADRA
57,ADRD
58,ADRE
59,ADRU
60,ADSK
61,ADTN
62,ADUS
63,ADVS
64,ADXS
65,ADXSW
66,AEGN
67,AEGR
68,AEHR
69,AEIS
70,AEPI
71,AERI
72,AETI
73,AEY
74,AEZS
75,AFAM
76,AFCB
77,AFFX
78,AFH
79,AFMD
80,AFOP
81,AFSI
82,AGEN
83,AGII
84,AGIIL
85,AGIO
86,AGNC
87,AGNCB
88,AGNCP
89,AGND
90,AGRX
91,AGTC
92,AGYS
93,AGZD
94,AHGP
95,AHPI
96,AIMC
97,AINV
98,AIQ
99,AIRM
100,AIRR
101,AIRT
102,AIXG
103,AKAM
104,AKAO
105,AKBA
106,AKER
107,AKRX
108,ALCO
109,ALDR
110,ALDX
111,ALGN
112,ALGT
113,ALIM
114,ALKS
115,ALLB
116,ALLT
117,ALNY
118,ALOG
119,ALOT
120,ALQA
121,ALSK
122,ALTR
123,ALXA
124,ALXN
125,AMAG
126,AMAT
127,AMBA
128,AMBC
129,AMBCW
130,AMCC
131,AMCF
132,AMCN
133,AMCX
134,AMD
135,AMDA
136,AMED
137,AMGN
138,AMIC
139,AMKR
140,AMNB
141,AMOT
142,AMOV
143,AMPH
144,AMRB
145,AMRI
146,AMRK
147,AMRN
148,AMRS
149,AMSC
150,AMSF
151,AMSG
152,AMSGP
153,AMSWA
154,AMTX
155,AMWD
156,AMZN
157,ANAC
158,ANAD
159,ANAT
160,ANCB
161,ANCI
162,ANCX
163,ANDE
164,ANGI
165,ANGO
166,ANIK
167,ANIP
168,ANSS
169,ANTH
170,ANY
171,AOSL
172,APAGF
173,APDN
174,APDNW
175,APEI
176,APOG
177,APOL
178,APPY
179,APRI
180,APSA
181,APTO
182,APWC
183,AQXP
184,ARAY
185,ARCB
186,ARCC
187,ARCI
188,ARCP
189,ARCPP
190,ARCW
191,ARDM
192,ARDX
193,AREX
194,ARGS
195,ARIA
196,ARII
197,ARIS
198,ARKR
199,ARLP
200,ARMH
201,ARNA
202,AROW
203,ARQL
204,ARRS
205,ARRY
206,ARTNA
207,ARTW
208,ARTX
209,ARUN
210,ARWR
211,ASBB
212,ASBI
213,ASCMA
214,ASEI
215,ASFI
216,ASMB
217,ASMI
218,ASML
219,ASNA
220,ASPS
221,ASPX
222,ASRV
223,ASRVP
224,ASTC
225,ASTE
226,ASTI
227,ASUR
228,ASYS
229,ATAI
230,ATAX
231,ATEA
232,ATEC
233,ATHN
234,ATHX
235,ATLC
236,ATLO
237,ATML
238,ATNI
239,ATNY
240,ATOS
241,ATRA
242,ATRC
243,ATRI
244,ATRM
245,ATRO
246,ATRS
247,ATSG
248,ATTU
249,ATVI
250,AUBN
251,AUDC
252,AUMA
253,AUMAU
254,AUMAW
255,AUPH
256,AUXL
257,AVAV
258,AVEO
259,AVGO
260,AVHI
261,AVID
262,AVNR
263,AVNW
264,AWAY
265,AWRE
266,AXAS
267,AXDX
268,AXGN
269,AXJS
270,AXPW
271,AXPWW
272,AXTI
273,AZPN
274,BABY
275,BAGR
276,BAMM
277,BANF
278,BANFP
279,BANR
280,BANX
281,BASI
282,BBBY
283,BBC
284,BBCN
285,BBEP
286,BBEPP
287,BBGI
288,BBLU
289,BBNK
290,BBOX
291,BBP
292,BBRG
293,BBRY
294,BBSI
295,BCBP
296,BCLI
297,BCOM
298,BCOR
299,BCOV
300,BCPC
301,BCRX
302,BDBD
303,BDCV
304,BDE
305,BDGE
306,BDMS
307,BDSI
308,BEAT
309,BEAV
310,BEBE
311,BECN
312,BELFA
313,BELFB
314,BFIN
315,BGCP
316,BGFV
317,BGMD
318,BHBK
319,BIB
320,BICK
321,BIDU
322,BIIB
323,BIND
324,BIOC
325,BIOD
326,BIOL
327,BIOS
328,BIRT
329,BIS
330,BJRI
331,BKCC
332,BKEP
333,BKEPP
334,BKMU
335,BKSC
336,BKYF
337,BLCM
338,BLDP
339,BLDR
340,BLFS
341,BLIN
342,BLKB
343,BLMN
344,BLMT
345,BLRX
346,BLUE
347,BLVD
348,BLVDU
349,BLVDW
350,BMRC
351,BMRN
352,BMTC
353,BNCL
354,BNCN
355,BNDX
356,BNFT
357,BNSO
358,BOBE
359,BOCH
360,BOFI
361,BOKF
362,BONA
363,BONT
364,BOOM
365,BOSC
366,BOTA
367,BOTJ
368,BPFH
369,BPFHP
370,BPFHW
371,BPOP
372,BPOPM
373,BPOPN
374,BPTH
375,BRCD
376,BRCM
377,BRDR
378,BREW
379,BRID
380,BRKL
381,BRKR
382,BRKS
383,BRLI
384,BSDM
385,BSET
386,BSF
387,BSFT
388,BSPM
389,BSQR
390,BSRR
391,BSTC
392,BTUI
393,BUR
394,BUSE
395,BV
396,BVA
397,BVSN
398,BWEN
399,BWFG
400,BWINA
401,BWINB
402,BWLD
403,BYBK
404,BYFC
405,BYLK
406,CA
407,CAAS
408,CAC
409,CACB
410,CACC
411,CACG
412,CACGU
413,CACGW
414,CACH
415,CACQ
416,CADC
417,CADT
418,CADTR
419,CADTU
420,CADTW
421,CAKE
422,CALA
423,CALD
424,CALI
425,CALL
426,CALM
427,CAMB
428,CAMBU
429,CAMBW
430,CAMP
431,CAMT
432,CAPN
433,CAPNW
434,CAR
435,CARA
436,CARB
437,CARO
438,CART
439,CARV
440,CARZ
441,CASH
442,CASI
443,CASM
444,CASS
445,CASY
446,CATM
447,CATY
448,CATYW
449,CAVM
450,CBAK
451,CBAN
452,CBAY
453,CBDE
454,CBF
455,CBFV
456,CBIN
457,CBLI
458,CBMG
459,CBMX
460,CBNJ
461,CBNK
462,CBOE
463,CBPO
464,CBRL
465,CBRX
466,CBSH
467,CBSHP
468,CBST
469,CBSTZ
470,CCBG
471,CCCL
472,CCCR
473,CCIH
474,CCLP
475,CCMP
476,CCNE
477,CCOI
478,CCRN
479,CCUR
480,CCXI
481,CDC
482,CDK
483,CDNA
484,CDNS
485,CDTI
486,CDW
487,CDXS
488,CDZI
489,CECE
490,CECO
491,CELG
492,CELGZ
493,CEMI
494,CEMP
495,CENT
496,CENTA
497,CENX
498,CERE
499,CERN
500,CERS
501,CERU
502,CETV
503,CEVA
504,CFA
505,CFBK
506,CFFI
507,CFFN
508,CFGE
509,CFNB
510,CFNL
511,CFO
512,CFRX
513,CFRXW
514,CFRXZ
515,CG
516,CGEN
517,CGIX
518,CGNX
519,CGO
520,CHCI
521,CHCO
522,CHDN
523,CHEF
524,CHEV
525,CHFC
526,CHFN
527,CHI
528,CHKE
529,CHKP
530,CHLN
531,CHMG
532,CHNR
533,CHOP
534,CHRS
535,CHRW
536,CHSCM
